game_id,image_id,rep_num,displacement,prev_success
6,7,2,0.3165059983730316,True
6,7,3,0.13105393946170807,True
6,7,4,0.0,True
6,7,5,0.10754586011171341,True
6,7,6,0.0,True
6,8,2,0.0,True
6,8,3,0.0,True
6,8,4,0.38800230622291565,True
6,8,5,0.18843917548656464,True
6,8,6,0.24177011847496033,True
6,9,2,0.44891297817230225,True
6,9,3,0.0,True
6,9,4,0.13608847558498383,True
6,9,5,0.0,True
6,9,6,0.4489944875240326,True
6,10,2,0.0,True
6,10,3,0.0,True
6,10,4,0.0,True
6,10,5,0.0,True
6,10,6,0.2762552797794342,True
6,11,2,0.44949033856391907,True
6,11,3,0.2328779399394989,True
6,11,4,0.11440599709749222,True
6,11,5,0.0,True
6,11,6,0.11440599709749222,True
7,0,2,0.5547471642494202,True
7,0,3,0.30068880319595337,True
7,0,4,0.4775872528553009,True
7,0,5,0.0,True
7,0,6,0.0,True
7,1,2,0.4311797022819519,False
7,1,3,0.5557207465171814,False
7,1,4,0.4541338086128235,True
7,1,5,0.30680349469184875,True
7,1,6,0.44408556818962097,True
7,2,2,0.47892042994499207,True
7,2,3,0.45401057600975037,True
7,2,4,0.3728778660297394,True
7,2,5,0.0,True
7,2,6,0.0,True
7,3,2,0.4196896255016327,True
7,3,3,0.311233252286911,True
7,3,4,0.38606348633766174,True
7,3,5,0.29102012515068054,True
7,3,6,0.2650225758552551,True
7,4,2,0.5459145307540894,True
7,4,3,0.4081544578075409,True
7,4,4,0.0,True
7,4,5,0.3869844377040863,True
7,4,6,0.40674445033073425,True
7,5,2,0.4488570988178253,True
7,5,3,0.0,True
7,5,4,0.3595031201839447,True
7,5,5,0.3449952006340027,True
7,5,6,0.4990961253643036,True
7,6,2,0.4840080738067627,False
7,6,3,0.4989195168018341,True
7,6,4,0.6523084044456482,False
7,6,5,0.7230504155158997,False
7,6,6,0.30116626620292664,True
7,7,2,0.5617226362228394,True
7,7,3,0.3746578097343445,True
7,7,4,0.0,True
7,7,5,0.0,True
7,7,6,0.0,True
7,8,2,0.5454481840133667,True
7,8,3,0.0,True
7,8,4,0.0,True
7,8,5,0.0,True
7,8,6,0.0,True
7,9,2,0.7404969334602356,True
7,9,3,0.7408657670021057,True
7,9,4,0.4632512032985687,True
7,9,5,0.0,True
7,9,6,0.21174031496047974,True
7,10,2,0.34652426838874817,False
7,10,3,0.4959138035774231,True
7,10,4,0.0,True
7,10,5,0.383531779050827,False
7,10,6,0.2470960021018982,True
7,11,2,0.6326134204864502,True
7,11,3,0.42748966813087463,True
7,11,4,0.2681942880153656,True
7,11,5,0.4194951355457306,True
7,11,6,0.3733111023902893,False
8,0,2,0.3575676679611206,True
8,0,3,0.25400105118751526,True
8,0,4,0.0,True
8,0,5,0.0,True
8,0,6,0.5097994804382324,True
8,1,2,0.6213151812553406,True
8,1,3,0.4169676899909973,True
8,1,4,0.0,True
8,1,5,0.5206722617149353,True
8,1,6,0.0,True
8,2,2,0.0,True
8,2,3,0.0,True
8,2,4,0.0,True
8,2,5,0.0,True
8,2,6,0.435899555683136,True
8,3,2,0.9913933873176575,True
8,3,3,0.3361136317253113,True
8,3,4,0.2726217210292816,True
8,3,5,0.2726217210292816,True
8,3,6,0.41931214928627014,True
8,4,2,0.0,True
8,4,3,0.0,True
8,4,4,0.0,True
8,4,5,0.0,True
8,4,6,0.446136474609375,True
8,5,2,0.46072980761528015,True
8,5,3,0.30656182765960693,True
8,5,4,0.19719022512435913,True
8,5,5,0.0,True
8,5,6,0.3336756229400635,True
8,6,2,0.5960861444473267,True
8,6,3,0.0,True
8,6,4,0.0,True
8,6,5,0.0,True
8,6,6,0.27789023518562317,True
8,7,2,0.826401948928833,True
8,7,3,0.0,True
